日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/04/01	800 高雄市	22 棗子  	150.0 	150.0 	150.0 	150.0 	 + 65	500 	 + 87	75000
111/04/01	800 高雄市	31 釋迦  	110.0 	100.0 	90.0 	100.0 	 + 10	240 	 - 38	24000
111/04/01	800 高雄市	32 釋迦 鳳梨釋迦 	60.0 	42.4 	30.0 	43.5 	 -  3	468 	 - 55	20358
111/04/01	800 高雄市	41 梅  	89.3 	64.7 	43.4 	65.4 	 - 16	"1,734 "	 -  9	113403.6
111/04/01	800 高雄市	459 草莓 進口 	800.0 	800.0 	800.0 	800.0 	  -  	10 	  -  	8000
111/04/01	800 高雄市	469 藍莓 進口 	350.0 	350.0 	350.0 	350.0 	  -  	6 	  -  	2100
111/04/01	800 高雄市	51 百香果 改良種 	60.0 	59.0 	50.0 	57.4 	 +  1	138 	 - 32	7921.2
111/04/01	800 高雄市	70 小番茄 其他 	80.0 	63.9 	46.1 	63.6 	 +  7	"1,034 "	 + 55	65762.4
111/04/01	800 高雄市	72 小番茄 聖女 	70.0 	68.9 	38.2 	63.0 	 +  6	210 	 - 64	13230
111/04/01	800 高雄市	74 小番茄 玉女 	200.0 	155.3 	80.0 	149.2 	 + 11	276 	 +283	41179.2
111/04/01	800 高雄市	812 火龍果 紅肉 	160.0 	158.0 	126.4 	152.1 	 + 22	405 	 - 71	61600.5
111/04/01	800 高雄市	829 蜜棗 進口 	130.0 	97.9 	95.0 	103.7 	 +  4	350 	 + 30	36295
111/04/01	800 高雄市	88 樹葡萄  	50.0 	50.0 	50.0 	50.0 	  -  	9 	  -  	450
111/04/01	800 高雄市	91 其他  	20.0 	20.0 	20.0 	20.0 	 + 33	250 	 - 79	5000
111/04/01	800 高雄市	919 其他 進口 	35.0 	35.0 	35.0 	35.0 	  -  	240 	  -  	8400
111/04/01	800 高雄市	A1 香蕉  	80.0 	65.8 	50.0 	65.5 	 +  8	"1,600 "	 - 37	104800
111/04/01	800 高雄市	A2 香蕉 芭蕉紅芭蕉 	40.0 	40.0 	40.0 	40.0 	 - 28	360 	 - 75	14400
111/04/01	800 高雄市	B2 鳳梨 金鑽鳳梨 	30.6 	18.9 	13.5 	20.2 	 - 13	"9,062 "	 -  1	183052.4
111/04/01	800 高雄市	C2 茂谷柑  	50.2 	29.0 	20.0 	31.4 	 - 10	"6,024 "	 + 95	189153.6
111/04/01	800 高雄市	D1 桶柑  	28.6 	20.0 	14.0 	20.5 	 +  7	"6,912 "	 - 24	141696
111/04/01	800 高雄市	E1 甜橙 柳橙 	35.0 	30.3 	30.0 	31.2 	 -  5	390 	 - 46	12168
111/04/01	800 高雄市	E9 甜橙 進口 	66.7 	58.7 	47.2 	58.0 	 -  2	"3,096 "	 + 39	179568
111/04/01	800 高雄市	F1 雜柑 檸檬 	70.0 	57.7 	50.0 	58.6 	 -  5	370 	 - 42	21682
111/04/01	800 高雄市	F2 雜柑 金棗 	40.0 	40.0 	40.0 	40.0 	 - 20	160 	 +  7	6400
111/04/01	800 高雄市	F4 雜柑 桔子 	125.0 	125.0 	125.0 	125.0 	 + 28	50 	 - 88	6250
111/04/01	800 高雄市	G2 黃金果  	120.0 	104.3 	88.4 	104.3 	 + 17	194 	 - 49	20234.2
111/04/01	800 高雄市	G49 奇異果 進口 	145.4 	117.2 	116.7 	122.7 	 -  2	651 	 + 60	79877.7
111/04/01	800 高雄市	G5 香瓜梨  	70.0 	70.0 	70.0 	70.0 	 + 17	920 	 + 47	64400
111/04/01	800 高雄市	H4 葡萄柚 紅肉 	22.3 	16.9 	15.0 	17.6 	 - 21	831 	 + 57	14625.6
111/04/01	800 高雄市	I1 木瓜 網室紅肉 	57.7 	40.7 	30.0 	41.9 	 -  3	"7,500 "	 +  5	314250
111/04/01	800 高雄市	I4 木瓜 青木瓜 	25.0 	25.0 	25.0 	25.0 	    0	"1,500 "	 + 17	37500
111/04/01	800 高雄市	L1 枇杷 茂木 	250.0 	167.9 	97.9 	170.3 	 -  2	578 	 + 24	98433.4
111/04/01	800 高雄市	N9 李 進口 	107.8 	87.7 	80.0 	90.2 	 + 10	590 	 + 59	53218
111/04/01	800 高雄市	O9 梨 其他進口 	113.3 	108.2 	100.0 	107.6 	 -  1	225 	 +400	24210
111/04/01	800 高雄市	P1 番石榴 珍珠芭 	20.0 	20.0 	20.0 	20.0 	 +  3	150 	 - 95	3000
111/04/01	800 高雄市	Q1 蓮霧 紅蓮霧 	135.0 	114.4 	84.5 	112.6 	 + 37	813 	 - 48	91543.8
111/04/01	800 高雄市	Q2 蓮霧 子彈型 	53.9 	33.7 	30.0 	37.0 	 +  6	"1,920 "	 + 17	71040
