日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/04/02	540 南投市  	FB2 花椰菜 白梗 	65.0 	38.0 	20.0 	37.8 	 +  7	329 	 + 68	12429.62
111/04/02	540 南投市  	FD1 花胡瓜  	65.0 	50.0 	35.0 	49.3 	  -  	110 	  -  	5425.2
111/04/02	540 南投市  	FG1 苦瓜 白大米 	49.0 	33.0 	15.0 	32.1 	 - 11	121 	 + 12	3885.31
111/04/02	540 南投市  	FI2 茄子 麻荸茄 	60.0 	27.0 	10.0 	25.9 	 - 18	347 	 +  5	8997.71
111/04/02	540 南投市  	FJ1 番茄 黑柿 	30.0 	22.0 	10.0 	20.9 	 - 22	97 	 - 33	2030.21
111/04/02	540 南投市  	FK4 甜椒 彩色種 	24.0 	19.0 	1.0 	18.7 	 - 15	331 	 + 24	6202.94
111/04/02	540 南投市  	FN2 敏豆 青豆 	160.0 	122.0 	60.0 	121.1 	 + 58	55 	    0	6659.95
111/04/02	540 南投市  	LA1 甘藍 初秋 	24.0 	18.0 	10.0 	17.0 	 - 26	"1,557 "	 + 32	26406.72
111/04/02	540 南投市  	OX1 其他  	120.0 	27.0 	6.5 	25.9 	 +  1	"2,713 "	 +  5	70348.09
111/04/02	540 南投市  	SG1 大蒜 硬梗 	30.0 	24.0 	18.0 	23.3 	 + 17	186 	 - 56	4328.22
111/04/02	540 南投市  	SH4 竹筍 孟宗筍 	60.0 	52.0 	36.0 	50.9 	 - 10	367 	 - 29	18680.3
111/04/02	540 南投市  	SQ3 茭白筍 去殼 	300.0 	290.0 	220.0 	289.4 	  -  	32 	  -  	9260.16
111/04/03	540 南投市  	FB2 花椰菜 白梗 	65.0 	37.0 	21.0 	36.5 	 -  3	232 	 - 29	8461.04
111/04/03	540 南投市  	FD1 花胡瓜  	75.0 	64.0 	35.0 	63.4 	 + 28	215 	 + 95	13624.55
111/04/03	540 南投市  	FI2 茄子 麻荸茄 	42.0 	26.0 	16.0 	25.4 	 -  2	154 	 - 56	3905.44
111/04/03	540 南投市  	FJ3 番茄 牛番茄 	26.0 	24.0 	22.0 	23.7 	  -  	97 	  -  	2294.05
111/04/03	540 南投市  	FK4 甜椒 彩色種 	25.0 	14.0 	3.0 	13.0 	 - 30	155 	 - 53	2019.65
111/04/03	540 南投市  	LA1 甘藍 初秋 	20.0 	16.0 	7.0 	15.2 	 - 11	"1,524 "	 -  2	23088.6
111/04/03	540 南投市  	OX1 其他  	300.0 	35.0 	6.0 	33.7 	 + 30	"1,601 "	 - 41	53889.66
111/04/03	540 南投市  	SA3 蘿蔔 矸仔 	10.0 	10.0 	10.0 	10.0 	  -  	"1,450 "	  -  	14500
111/04/03	540 南投市  	SG1 大蒜 硬梗 	35.0 	28.0 	20.0 	27.8 	 + 20	248 	 + 33	6904.32
111/04/03	540 南投市  	SH4 竹筍 孟宗筍 	50.0 	46.0 	33.0 	45.1 	 - 11	635 	 + 73	28644.85
111/04/04	540 南投市  	FD1 花胡瓜  	75.0 	63.0 	35.0 	62.4 	 -  2	95 	 - 56	5925.15
111/04/04	540 南投市  	FI2 茄子 麻荸茄 	40.0 	29.0 	20.0 	28.7 	 + 13	121 	 - 21	3473.91
111/04/04	540 南投市  	LA1 甘藍 初秋 	20.0 	17.0 	5.0 	16.9 	 + 11	918 	 - 40	15505.02
111/04/04	540 南投市  	OX1 其他  	85.0 	27.0 	10.0 	25.4 	 - 25	"1,699 "	 +  6	43171.59
111/04/04	540 南投市  	SH4 竹筍 孟宗筍 	"5,050.0 "	42.0 	30.0 	41.8 	 -  7	375 	 - 41	15686.25
