1,FEE_YM,費用年月,C,6,1,6,YYYYMM
2,APPL_TYPE,申報類別,C,1,7,7,1：送核 2：補報
3,HOSP_ID,醫事機構代號,C,34,8,41,已轉碼。後2碼為權屬別，請參考代碼說明之「權屬及型態別其代號與名稱」。代檢及轉檢由原診治之特約醫院、診所申報。
4,APPL_DATE,申報日期,C,8,42,49,YYYYMMDD(西元年)
5,CASE_TYPE,案件分類,C,2,50,51,請參考代碼說明之「案件分類代號」
6,SEQ_NO,流水號,N,6,52,57,右靠不足補0，依案件分類之類別分別連續編號
7,CURE_ITEM_NO1,特定治療項目代號（一）,C,2,58,59,請參考代碼說明之「特定治療項目代號」；如無特定治療項目代號所列舉之內容則留空白。慢性病連續處方調劑本欄免填。
8,CURE_ITEM_NO2,特定治療項目代號（二）,C,2,60,61,同上
9,CURE_ITEM_NO3,特定治療項目代號（三）,C,2,62,63,同上
10,CURE_ITEM_NO4,特定治療項目代號（四）,C,2,64,65,同上
11,FUNC_TYPE,就醫科別,C,2,66,67,請參考代碼說明之「就醫科別及細分科」
12,FUNC_DATE,就醫日期,C,8,68,75,YYYYMMDD 請參考代碼說明之「就醫日期及治療結束日期補充說明」
13,TREAT_END_DATE,治療結束日期,C,8,76,83,YYYYMMDD 請參考代碼說明之「就醫日期及治療結束日期補充說明」，同一療程、排程檢查或慢性病連續處方籤調劑案件，本欄必填。
14,ID_BIRTHDAY,出生日期,C,8,84,91,YYYYMMDD
15,ID,身份證統一編號,C,32,92,123,已轉碼，國民身分證統一編號，或外籍居留證號碼，左靠不足補空白，（如無居留證號碼則為護照號碼）。
16,CARD_SEQ_NO,健保卡就醫序號,C,2,124,125,健保卡或兒童健康手冊就醫紀錄欄之序號(如：A1、A2)，同一序號如有重複申報，僅支付實際於就醫紀錄欄加蓋戳章之醫療院所，慢性病連續處方調劑請填慢性病連續處方箋上調劑記錄欄之序號，(左靠不足補空白)；預防保健請填預防保健之服務時程代碼；請參考代碼說明之「健保卡就醫序號」
17,GAVE_KIND,給付類別,C,1,127,127,請參考說明之「給付類別」
18,PART_NO,部分負擔代號,C,3,128,130,部分負擔代號依部分負擔代號之編碼原則填寫。請參考「部分負擔代號及相關規定」。本欄為必要欄位，如為慢性病連續處方調劑及預防保健，本欄請填 009
19,ACODE_ICD9_1,國際疾病分類號一,C,5,131,135,左靠不足補空白，西醫、中醫國際疾病分類號碼按傷病名稱，參照世界衛生組織一九七五年第九次修訂之國際疾病分類表(A code)填寫，亦可填ICD-9-CM，最多填三個；牙醫則填 ICD-9-CM，預防保健則本欄為非必要欄位 西醫自八十九年元月起全面以ICD-9-CM申報；中醫自九十一年五月起全面以ICD-9-CM申報。 ICD-9-CM以1992年版為準
20,ACODE_ICD9_2,國際疾病分類號二,C,5,136,140,左靠，不足補空白
21,ACODE_ICD9_3,國際疾病分類號三,C,5,141,145,左靠，不足補空白
22,ICD_OP_CODE,主手術代碼,C,4,146,149,ICD-9-CM之主手術代號；預防保健、慢性病連續處方調劑及中醫本欄免填
23,DRUG_DAY,給藥日份,N,2,150,151,右靠不足補0，本次給藥日份最高之天數（註一）：除單次給藥為「非口服藥」外，餘請填「口服藥」之最高給藥日份(89.06)；慢性病連續處方調劑，請依連續處方箋上所列填寫；預防保健則本欄為非必要欄位
24,MED_TYPE,處方調劑方式,C,1,152,152,請參考「處方調劑方式」
25,PRSN_ID,醫師代號,C,32,153,184,已轉碼。醫師或原處方醫師之國民身分證統一編號或外籍居留證號。左靠不足補空白。
26,PHAR_ID,藥師代號,C,32,185,216,已轉碼。調劑藥師之國民身分證統一編號，外籍居留證號，左靠不足補空白。診所聘有藥師本欄為必要欄位，否則留空白。
27,DRUG_AMT,用藥明細金額小計,N,8,217,224,右靠不足補0，此項費用為OO檔之醫令類別為１之用藥明細金額(序號13)之小計，如為交付調劑之藥品費用，不得併入用藥明細金額小計內計算；西醫簡表及中醫請依給藥日份計算用藥申報金額
28,TREAT_AMT,診療明細金額小計,N,8,225,232,右靠不足補0，此項費用為OO檔之除用藥之外（醫令類別為2或3），各項診療及特殊材料明細金額（序號13）之小計；慢性病連續處方調劑本欄免填
29,TREAT_CODE,診察費項目代號,C,12,233,244,填寫全民健保醫療費用支付標準碼。預防保健、洗腎、慢性病連續處方調劑本欄免填，補空白
30,DIAG_AMT,診察費,N,8,245,252,診察費金額，右靠不足補0。預防保健、洗腎、慢性病連續處方調劑本欄免填，請補0
31,DSVC_NO,藥事服務費項目代號,C,12,253,264,填寫全民健保醫療費用支付標準碼，洗腎本欄免填，補空白
32,DSVC_AMT,藥事服務費,N,8,265,272,藥事服務費金額，右靠不足補0，洗腎本欄補0
33,BY_PASS_CODE,DRG參考碼,C,2,273,274,請參考健保局網站(http://www.nhi.gov.tw/)
34,T_AMT,合計金額,N,8,275,282,右靠不足補0，此項費用含部分負擔費用，如為交付調劑之藥品費用，不得併入合計金額內計算，本欄為序號27、28、30、32之合計
35,PART_AMT,部分負擔金額,N,8,283,290,右靠不足補0，部分負擔費用。預防保健、慢性病連續處方調劑本欄免填。補0
36,T_APPL_AMT,申請金額,N,8,291,298,右靠不足補0，此項費用不含部分負擔費用，即合計金額扣除部分負擔金額
37,ID_SEX,性別,C,1,299,299,M：男性 F：女性 U：不詳(詳註)
